PF04624.15	DEC1
PF16671.6	ACD
PF14733.7	ACDC
PF06315.12	AceK
PF00871.18	Acetate_kinase
PF09290.12	AcetDehyd-dimer
PF08882.12	Acetone_carb_G
PF13336.7	AcetylCoA_hyd_C
PF02550.16	AcetylCoA_hydro
PF00583.26	Acetyltransf_1
PF13673.8	Acetyltransf_10
PF13720.7	Acetyltransf_11
PF13880.7	Acetyltransf_13
PF03421.17	Acetyltransf_14
PF17013.6	Acetyltransf_15
PF05301.12	Acetyltransf_16
PF17668.2	Acetyltransf_17
PF18014.2	Acetyltransf_18
PF18015.2	Acetyltransf_19
PF00797.18	Acetyltransf_2
PF13302.8	Acetyltransf_3
PF13420.8	Acetyltransf_4
PF13444.7	Acetyltransf_5
PF13480.8	Acetyltransf_6
PF13508.8	Acetyltransf_7
PF13523.7	Acetyltransf_8
PF13527.8	Acetyltransf_9
PF14542.7	Acetyltransf_CG
PF08674.11	AChE_tetra
PF15270.7	ACI44
PF03767.15	Acid_phosphat_B
PF12689.8	Acid_PPase
PF05054.13	AcMNPV_Ac109
PF04412.14	AcnX
PF00330.21	Aconitase
PF06434.14	Aconitase_2_N
PF11791.9	Aconitase_B_N
PF00694.20	Aconitase_C
PF01756.20	ACOX
PF06857.12	ACP
PF04336.13	ACP_PD
PF08545.11	ACP_syn_III
PF08541.11	ACP_syn_III_C
PF05777.13	Acp26Ab
PF06313.12	ACP53EA
PF01648.21	ACPS
PF00873.20	ACR_tran
PF10766.10	AcrZ
PF01842.26	ACT
PF10000.10	ACT_3
PF13291.7	ACT_4
PF13710.7	ACT_5
PF13740.7	ACT_6
PF13840.7	ACT_7
PF09192.11	Act-Frag_cataly
PF05058.13	ActA
PF16102.6	ACTH_assoc
PF00976.19	ACTH_domain
PF00022.20	Actin
PF17003.6	Actin_micro
PF14408.7	Actino_peptide
PF11498.9	Activator_LAG-3
PF11657.9	Activator-TraM
PF01064.24	Activin_recp
PF16840.6	ACTL7A_N
PF18859.2	acVLRF1
PF02551.16	Acyl_CoA_thio
PF00698.22	Acyl_transf_1
PF02273.16	Acyl_transf_2
PF01757.23	Acyl_transf_3
PF01643.18	Acyl-ACP_TE
PF00441.25	Acyl-CoA_dh_1
PF08028.12	Acyl-CoA_dh_2
PF12806.8	Acyl-CoA_dh_C
PF02770.20	Acyl-CoA_dh_M
PF02771.17	Acyl-CoA_dh_N
PF14749.7	Acyl-CoA_ox_N
PF12590.9	Acyl-thio_N
PF12186.9	AcylCoA_dehyd_C
PF12418.9	AcylCoA_DH_N
PF00708.19	Acylphosphatase
PF16076.6	Acyltransf_C
PF01553.22	Acyltransferase
PF09793.10	AD
PF16701.6	Ad_Cy_reg
PF08509.12	Ad_cyc_g-alpha
PF02805.17	Ada_Zn_binding
PF10198.10	Ada3
PF08516.13	ADAM_CR
PF17771.2	ADAM_CR_2
PF05986.15	ADAM_spacer1
PF16698.6	ADAM17_MPD
PF00928.22	Adap_comp_sub
PF10199.10	Adaptin_binding
PF01602.21	Adaptin_N
PF06314.12	ADC
PF17981.2	ADD_ATRX
PF17980.2	ADD_DNMT3
PF13382.7	Adenine_deam_C
PF03352.14	Adenine_glyco
PF02438.17	Adeno_100
PF03052.16	Adeno_52K
PF02703.15	Adeno_E1A
PF01691.17	Adeno_E1B_19K
PF01696.18	Adeno_E1B_55K
PF04623.13	Adeno_E1B_55K_N
PF06040.12	Adeno_E3
PF04834.13	Adeno_E3_14_5
PF03307.15	Adeno_E3_15_3
PF02440.16	Adeno_E3_CR1
PF02439.16	Adeno_E3_CR2
PF05248.13	Adeno_E3A
PF03376.15	Adeno_E3B
PF05385.12	Adeno_E4
PF04528.14	Adeno_E4_34
PF06931.12	Adeno_E4_ORF3
PF04881.14	Adeno_GP19K
PF01065.20	Adeno_hexon
PF03678.15	Adeno_hexon_C
PF02456.16	Adeno_IVa2
PF00541.18	Adeno_knob
PF01686.18	Adeno_Penton_B
PF03955.15	Adeno_PIX
PF03910.14	Adeno_PV
PF01310.19	Adeno_PVIII
PF05829.13	Adeno_PX
PF00608.18	Adeno_shaft
PF02459.16	Adeno_terminal
PF03228.15	Adeno_VII
PF04008.15	Adenosine_kin
PF12633.8	Adenyl_cycl_N
PF04439.13	Adenyl_transf
PF01295.19	Adenylate_cycl
PF16579.6	AdenylateSensor
PF00709.22	Adenylsucc_synt
PF08240.13	ADH_N
PF16884.6	ADH_N_2
PF13823.7	ADH_N_assoc
PF00106.26	adh_short
PF13561.7	adh_short_C2
PF00107.27	ADH_zinc_N
PF13602.7	ADH_zinc_N_2
PF16812.6	AdHead_fibreRBD
PF09085.11	Adhes-Ig_like
PF04619.13	Adhesin_Dr
PF16747.6	Adhesin_E
PF03257.14	Adhesin_P1
PF18652.2	Adhesin_P1_N
PF11559.9	ADIP
PF15202.7	Adipogenin
PF06377.12	Adipokin_hormo
PF00406.23	ADK
PF05191.15	ADK_lid
PF05221.18	AdoHcyase
PF00670.22	AdoHcyase_NAD
PF02675.16	AdoMet_dc
PF07757.14	AdoMet_MTase
PF01941.20	AdoMet_Synthase
PF08132.12	AdoMetDC_leader
PF04587.16	ADP_PFK_GK
PF03747.15	ADP_ribosyl_GH
PF03496.15	ADPrib_exo_Tox
PF18648.2	ADPRTs_Tse2
PF10397.10	ADSL_C
PF06355.14	Aegerolysin
PF17049.6	AEP1
PF01117.21	Aerolysin
PF05110.14	AF-4
PF18876.1	AF-4_C
PF14591.7	AF0941-like
PF14556.7	AF2331-like
PF18875.1	AF4_int
PF05775.13	AfaD
PF15339.7	Afaf
PF03969.17	AFG1_ATPase
PF07792.13	Afi1
PF08493.11	AflR
PF01314.19	AFOR_C
PF02730.16	AFOR_N
PF02420.16	AFP
PF18815.2	AFP_2
PF03756.14	AfsA
PF08731.12	AFT
PF11786.9	Aft1_HRA
PF11787.9	Aft1_HRR
PF11785.9	Aft1_OSA
PF12249.9	AftA_C
PF12250.9	AftA_N
PF04671.13	Ag332
PF17366.3	AGA2
PF17992.2	Agarase_CBM
PF05641.13	Agenet
PF07468.12	Agglutinin
PF18021.2	Agglutinin_C
PF17558.3	AGH
PF17998.2	AgI_II_C2
PF18079.2	AglB_L1
PF10427.10	Ago_hook
PF18236.2	AGO_N
PF18351.2	Ago_N_1
PF18309.2	Ago_PAZ
PF09171.11	AGOG
PF05039.13	Agouti
PF06376.13	AGP
PF18723.2	aGPT-Pplase1
PF18724.2	aGPT-Pplase2
PF18746.2	aGPT-Pplase3
PF04647.16	AgrB
PF19188.1	AGRB_N
PF05931.12	AgrD
PF04730.13	Agro_virD5
PF18134.2	AGS_C
PF11440.9	AGT
PF06396.12	AGTRAP
PF09229.12	Aha1_N
PF17793.2	AHD
PF14412.7	AHH
PF18743.2	AHJR-like
PF17327.3	AHL_synthase
PF00578.22	AhpC-TSA
PF13911.7	AhpC-TSA_2
PF08327.12	AHSA1
PF09236.11	AHSP
PF01594.17	AI-2E_transport
PF15334.7	AIB
PF01808.19	AICARFT_IMPCHas
PF18767.2	AID
PF16168.6	AIDA
PF14186.7	Aida_C2
PF08910.11	Aida_N
PF18158.2	AidB_N
PF14721.7	AIF_C
PF14962.7	AIF-MLS
PF04548.17	AIG1
PF13772.7	AIG2_2
PF06316.12	Ail_Lom
PF10315.10	Aim19
PF11489.9	Aim21
PF01987.18	AIM24
PF17096.6	AIM3
PF17050.6	AIM5
PF16780.6	AIMP2_LysRS_bd
PF03915.14	AIP3
PF10592.10	AIPR
PF00731.21	AIRC
PF00586.25	AIRS
PF02769.23	AIRS_C
PF15298.7	AJAP1_PANP_C
PF05716.14	AKAP_110
PF15304.7	AKAP2_C
PF14469.7	AKAP28
PF10469.10	AKAP7_NLS
PF10470.10	AKAP7_RIRII_bdg
PF04988.13	AKAP95
PF12443.9	AKNA
PF00842.22	Ala_racemase_C
PF01168.21	Ala_racemase_N
PF00490.22	ALAD
PF01262.22	AlaDh_PNT_C
PF05222.16	AlaDh_PNT_N
PF06610.14	AlaE
PF11839.9	Alanine_zipper
PF09135.12	Alb1
PF01918.22	Alba
PF04326.15	AlbA_2
PF08027.12	Albumin_I
PF16720.6	Albumin_I_a
PF17527.3	ALC
PF11606.9	AlcCBM31
PF11266.9	Ald_deCOase
PF01315.23	Ald_Xan_dh_C
PF02738.19	Ald_Xan_dh_C2
PF00171.23	Aldedh
PF00248.22	Aldo_ket_red
PF01081.20	Aldolase
PF00596.22	Aldolase_II
PF01263.21	Aldose_epim
PF03752.14	ALF
PF12165.9	Alfin
PF15924.6	ALG11_N
PF08660.12	Alg14
PF05208.14	ALG3
PF03155.16	Alg6_Alg8
PF11182.9	AlgF
PF13372.7	Alginate_exp
PF05426.13	Alginate_lyase
PF08787.12	Alginate_lyase2
PF16822.6	ALGX
PF13949.7	ALIX_LYPXL_bnd
PF00245.21	Alk_phosphatase
PF06029.12	AlkA_N
PF14864.7	Alkyl_sulf_C
PF14863.7	Alkyl_sulf_dimr
PF03561.16	Allantoicase
PF05953.13	Allatostatin
PF06351.12	Allene_ox_cyc
PF05549.12	Allexi_40kDa
PF04864.14	Alliinase_C
PF15309.7	ALMS_motif
PF18727.2	ALMS_repeat
PF11744.9	ALMT
PF04030.15	ALO
PF17989.2	ALP_N
PF09608.11	Alph_Pro_TM
PF02296.17	Alpha_adaptin_C
PF02883.21	Alpha_adaptinC2
PF01589.17	Alpha_E1_glycop
PF00943.20	Alpha_E2_glycop
PF01563.17	Alpha_E3_glycop
PF03229.14	Alpha_GJ
PF18489.2	Alpha_Helical
PF02816.19	Alpha_kinase
PF01120.18	Alpha_L_fucos
PF02232.16	Alpha_TIF
PF06401.12	Alpha-2-MRAP_C
PF06400.12	Alpha-2-MRAP_N
PF09071.11	Alpha-amyl_C
PF07821.13	Alpha-amyl_C2
PF00128.25	Alpha-amylase
PF02806.19	Alpha-amylase_C
PF02903.15	Alpha-amylase_N
PF04168.13	Alpha-E
PF14456.7	alpha-hel2
PF06964.13	Alpha-L-AF_C
PF09261.12	Alpha-mann_mid
PF08829.11	AlphaC_N
PF17480.3	AlphaC_N2
PF10369.10	ALS_ss_C
PF15729.6	ALS2CR11
PF15299.7	ALS2CR8
PF16541.6	AltA1
PF11092.9	Alveol-reg_P311
PF02430.16	AMA-1
PF07344.12	Amastin
PF17645.2	Amdase
PF12475.9	Amdo_NSP
PF05111.13	Amelin
PF02948.16	Amelogenin
PF15757.6	Amelotin
PF12190.9	amfpi-1
PF04709.13	AMH_N
PF01425.22	Amidase
PF01510.26	Amidase_2
PF01520.19	Amidase_3
PF05382.14	Amidase_5
PF12671.8	Amidase_6
PF12123.9	Amidase02_C
PF02274.18	Amidinotransf
PF09663.11	Amido_AtzD_TrzD
PF01979.21	Amidohydro_1
PF04909.15	Amidohydro_2
PF07969.12	Amidohydro_3
PF12224.9	Amidoligase_2
PF11741.9	AMIN
PF01593.25	Amino_oxidase
PF10706.10	Aminoglyc_resit
PF10023.10	Aminopep
PF00155.22	Aminotran_1_2
PF00202.22	Aminotran_3
PF01063.20	Aminotran_4
PF00266.20	Aminotran_5
PF12897.8	Aminotran_MocR
PF02293.16	AmiS_UreI
PF10997.9	Amj
PF01871.18	AMMECR1
PF00909.22	Ammonium_transp
PF14828.7	Amnionless
PF10423.10	AMNp_N
PF02461.17	AMO
PF04896.13	AmoC
PF03782.18	AMOP
PF05195.17	AMP_N
PF00501.29	AMP-binding
PF13193.7	AMP-binding_C
PF14535.7	AMP-binding_C_2
PF17113.6	AmpE
PF16561.6	AMPK1_CBM
PF04739.16	AMPKBI
PF03098.16	An_peroxidase
PF10471.10	ANAPC_CDC26
PF12859.8	ANAPC1
PF03256.17	ANAPC10
PF15243.7	ANAPC15
PF17256.3	ANAPC16
PF08672.12	ANAPC2
PF12895.8	ANAPC3
PF12896.8	ANAPC4
PF12894.8	ANAPC4_WD40
PF12862.8	ANAPC5
PF04049.14	ANAPC8
PF12856.8	ANAPC9
PF01821.19	ANATO
PF02166.17	Androgen_recep
PF06369.13	Anemone_cytotox
PF01094.29	ANF_receptor
PF03139.16	AnfG_VnfG
PF09582.11	AnfO_nitrog
PF12240.9	Angiomotin_C
PF08174.12	Anillin
PF16018.6	Anillin_N
PF00023.31	Ank
PF12796.8	Ank_2
PF13606.7	Ank_3
PF13637.7	Ank_4
PF13857.7	Ank_5
PF07260.12	ANKH
PF18418.2	AnkUBD
PF03702.15	AnmK
PF00191.21	Annexin
PF18411.2	Annexin_like
PF16178.6	Anoct_dimer
PF04547.13	Anoctamin
PF10731.10	Anophelin
PF00212.19	ANP
PF03452.15	Anp1
PF03374.15	ANT
PF05586.12	Ant_C
PF08346.13	AntA
PF03861.15	ANTAR
PF07651.17	ANTH
PF05587.14	Anth_Ig
PF04715.14	Anth_synt_I_N
PF03497.17	Anthrax_toxA
PF09156.11	Anthrax-tox_M
PF10796.10	Anti-adapt_IraP
PF15777.6	Anti-TRAP
PF02522.15	Antibiotic_NAT
PF08264.14	Anticodon_1
PF11410.9	Antifungal_pept
PF11402.9	Antifungal_prot
PF09255.11	Antig_Caf1
PF11641.9	Antigen_Bd37
PF16364.6	Antigen_C
PF08018.12	Antimicrobial_1
PF08023.13	Antimicrobial_2
PF08025.12	Antimicrobial_3
PF08024.12	Antimicrobial_4
PF08026.12	Antimicrobial_5
PF08036.12	Antimicrobial_6
PF08102.12	Antimicrobial_7
PF08103.12	Antimicrobial_8
PF08104.12	Antimicrobial_9
PF08105.12	Antimicrobial10
PF08106.12	Antimicrobial11
PF08107.12	Antimicrobial12
PF08108.12	Antimicrobial13
PF08109.12	Antimicrobial14
PF08110.13	Antimicrobial15
PF08129.12	Antimicrobial17
PF08130.12	Antimicrobial18
PF08225.12	Antimicrobial19
PF08256.12	Antimicrobial20
PF14861.7	Antimicrobial21
PF16047.6	Antimicrobial22
PF16048.6	Antimicrobial23
PF16049.6	Antimicrobial24
PF16839.6	Antimicrobial25
PF03230.14	Antirestrict
PF02822.15	Antistasin
PF03589.14	Antiterm
PF15721.6	ANXA2R
PF18678.2	AOC_like
PF01786.18	AOX
PF01261.25	AP_endonuc_2
PF15001.7	AP-5_subunit_s1
PF15745.6	AP1AR
PF00847.21	AP2
PF14796.7	AP3B1_C
PF06375.12	AP3D1
PF14807.7	AP4E_app_platf
PF17908.2	APAF1_C
PF02558.17	ApbA
PF08546.12	ApbA_C
PF02424.16	ApbE
PF05972.12	APC_15aa
PF05956.12	APC_basic
PF16689.6	APC_N_CC
PF05923.13	APC_r
PF18797.2	APC_rep
PF16634.6	APC_u13
PF16635.6	APC_u14
PF16636.6	APC_u15
PF16630.6	APC_u5
PF16633.6	APC_u9
PF18122.2	APC1_C
PF05839.12	Apc13p
PF05841.12	Apc15p
PF14921.7	APCDDC
PF18862.2	ApeA_NTD1
PF16977.6	ApeC
PF15360.7	Apelin
PF18946.1	Apex
PF04110.14	APG12
PF04108.13	APG17
PF04106.13	APG5
PF04111.13	APG6
PF17675.2	APG6_N
PF04109.17	APG9
PF01636.24	APH
PF04655.15	APH_6_hur
PF06105.13	Aph-1
PF14557.7	AphA_like
PF05918.12	API5
PF00807.18	Apidaecin
PF11671.9	Apis_Csd
PF05634.12	APO_RNA-bind
PF05355.12	Apo-CII
PF05778.13	Apo-CIII
PF05418.12	Apo-VLDL-II
PF04711.14	ApoA-II
PF12491.9	ApoB100_C
PF05240.15	APOBEC_C
PF08210.12	APOBEC_N
PF18769.2	APOBEC1
PF18772.2	APOBEC2
PF18771.2	APOBEC3
PF18775.2	APOBEC4
PF18774.2	APOBEC4_like
PF04691.13	ApoC-I
PF15119.7	APOC4
PF01333.20	Apocytochr_F_C
PF16639.6	Apocytochr_F_N
PF05461.12	ApoL
PF15148.7	Apolipo_F
PF01442.19	Apolipoprotein
PF07464.12	ApoLp-III
PF11032.9	ApoM
PF09769.10	ApoO
PF10515.10	APP_amyloid
PF12924.8	APP_Cu_bd
PF12925.8	APP_E2
PF02177.17	APP_N
PF12716.8	Apq12
PF01583.21	APS_kinase
PF12139.9	APS-reductase_C
PF03440.15	APT
PF10351.10	Apt1
PF06079.12	Apyrase
PF16399.6	Aquarius_N
PF12489.9	ARA70
PF09206.12	ArabFuran-catal
PF14896.7	Arabino_trans_C
PF17689.2	Arabino_trans_N
PF12625.8	Arabinose_bd
PF11762.9	Arabinose_Iso_C
PF02610.16	Arabinose_Isome
PF04602.13	Arabinose_trans
PF02311.20	AraC_binding
PF14525.7	AraC_binding_2
PF06719.14	AraC_N
PF06081.12	ArAE_1
PF11728.9	ArAE_1_C
PF10334.10	ArAE_2
PF10337.10	ArAE_2_N
PF09692.11	Arb1
PF09757.10	Arb2
PF03869.15	Arc
PF18162.2	Arc_C
PF06819.12	Arc_PepC
PF06847.12	Arc_PepC_II
PF08394.11	Arc_trans_TRASH
PF18653.2	Arcadin_1
PF04659.14	Arch_fla_DE
PF01917.17	Arch_flagellin
PF12942.8	Archaeal_AmoA
PF01951.17	Archease
PF03079.15	ARD
PF07275.12	ArdA
PF07573.12	AreA_N
PF00798.19	Arena_glycoprot
PF17290.3	Arena_ncap_C
PF00843.18	Arena_nucleocap
PF06317.12	Arena_RNA_pol
PF17296.3	ArenaCapSnatch
PF00025.22	Arf
PF14949.7	ARF7EP_C
PF03889.14	ArfA
PF06456.14	Arfaptin
PF01412.19	ArfGap
PF17810.2	Arg_decarb_HB
PF17944.2	Arg_decarbox_C
PF01316.22	Arg_repressor
PF02863.19	Arg_repressor_C
PF03485.17	Arg_tRNA_synt_N
PF00491.22	Arginase
PF00764.20	Arginosuc_synth
PF01960.19	ArgJ
PF15346.7	ARGLU
PF08699.11	ArgoL1
PF16488.6	ArgoL2
PF16487.6	ArgoMid
PF16486.6	ArgoN
PF11581.9	Argos
PF15441.7	ARHGEF5_35
PF18938.1	aRib
PF01388.22	ARID
PF06770.12	Arif-1
PF15840.6	ARL17
PF11527.9	ARL2_Bind_BART
PF15062.7	ARL6IP6
PF18719.2	ArlS_N
PF00514.24	Arm
PF04826.14	Arm_2
PF16186.6	Arm_3
PF16629.6	Arm_APC_u3
PF18770.2	Arm_vescicular
PF09003.11	Arm-DNA-bind_1
PF12167.9	Arm-DNA-bind_2
PF13356.7	Arm-DNA-bind_3
PF14657.7	Arm-DNA-bind_4
PF17293.3	Arm-DNA-bind_5
PF10208.10	Armet
PF18677.2	ArnB_C
PF18583.2	Arnt_C
PF07302.12	AroM
PF11723.9	Aromatic_hydrox
PF15684.6	AROS
PF05856.13	ARPC4
PF12120.9	Arr-ms
PF02752.23	Arrestin_C
PF00339.30	Arrestin_N
PF04959.14	ARS2
PF02374.16	ArsA_ATPase
PF17886.2	ArsA_HSP20
PF02040.16	ArsB
PF03960.16	ArsC
PF06953.12	ArsD
PF03773.14	ArsP_1
PF11449.9	ArsP_2
PF09824.10	ArsR
PF01129.19	ART
PF18760.2	ART-PolyVal
PF18084.2	ARTD15_N
PF01606.17	Arteri_env
PF00951.19	Arteri_Gl
PF02497.16	Arteri_GP4
PF16749.6	Arteri_nsp7a
PF01481.17	Arteri_nucleo
PF04161.14	Arv1
PF01731.21	Arylesterase
PF14269.7	Arylsulfotran_2
PF17425.3	Arylsulfotran_N
PF05935.12	Arylsulfotrans
PF00858.25	ASC
PF04266.15	ASCH
PF08688.11	ASD1
PF08687.12	ASD2
PF04729.14	ASF1_hist_chap
PF01671.17	ASFV_360
PF05568.12	ASFV_J13L
PF05293.12	ASFV_L11L
PF06556.12	ASFV_p27
PF15780.6	ASH
PF15323.7	Ashwin
PF09010.11	AsiA
PF19039.1	ASK_PH
PF08328.12	ASL_C
PF14698.7	ASL_C2
PF05170.15	AsmA
PF13109.7	AsmA_1
PF13502.7	AsmA_2
PF00733.22	Asn_synthase
PF03590.16	AsnA
PF01037.22	AsnC_trans_reg
PF17805.2	AsnC_trans_reg2
PF00026.24	Asp
PF05118.16	Asp_Arg_Hydrox
PF02261.17	Asp_decarbox
PF01177.23	Asp_Glu_race
PF14669.7	Asp_Glu_race_2
PF09668.11	Asp_protease
PF13650.7	Asp_protease_2
PF06826.13	Asp-Al_Ex
PF05279.12	Asp-B-Hydro_N
PF16993.6	Asp1
PF16929.6	Asp2
PF03780.14	Asp23
PF16996.6	Asp4
PF17000.6	Asp5
